School Name,Roll/DENI Number,Experience,Event Start,Event End,School Name Clean,Year,county,DEIS (Y/N)
caritas college,60732H,Dream Space Academy for Post-Primary,2020-10-08 10:00:00,08/10/2020 12:00,caritas college,2020,Dublin,Y
scoil na gceithre máistrí,19948W,Dream Space Academy for Primary,2020-10-16 12:30:00,16/10/2020 14:30,scoil na gceithre máistrí,2020,Westmeath,Y
scoil phroinsiais naofa,18406E,Dream Space Academy for Primary,2020-10-20 12:30:00,20/10/2020 14:30,scoil phroinsiais naofa,2020,Offaly,Y
killorglin community college,70460G,Dream Space Academy for Post-Primary,2020-10-22 10:00:00,22/10/2020 12:00,killorglin community college,2020,Kerry,Y
st peters college,71950F,Dream Space Academy for Post-Primary,2020-10-22 12:30:00,22/10/2020 14:30,st peters college,2020,,
hazelwood college,71850B,Dream Space Academy for Post-Primary,2020-10-23 12:30:00,23/10/2020 14:30,hazelwood college,2020,Limerick,N
inchicore ns,20139T,Dream Space Academy for Primary,2020-11-04 10:00:00,04/11/2020 12:00,inchicore ns,2020,Dublin,Y
rosemont school,60930L,Dream Space Academy for Post-Primary,2020-11-04 12:30:00,04/11/2020 14:30,rosemont school,2020,Dublin,N
st. brendans community school,91491L,Dream Space Academy for Post-Primary,2020-11-05 10:00:00,05/11/2020 12:00,st. brendans community school,2020,Offaly,Y
firhouse community college,70140L,Dream Space Academy for Post-Primary,2020-11-05 12:30:00,05/11/2020 14:30,firhouse community college,2020,Dublin,N
firhouse community college,70140L,Dream Space Academy for Post-Primary,2020-11-06 10:00:00,06/11/2020 12:00,firhouse community college,2020,Dublin,N
scoil mhuire ns,20492M,Dream Space Academy for Primary,2020-11-06 12:30:00,06/11/2020 14:30,scoil mhuire ns,2020,Kilkenny,Y
our lady of lourdes,07546J,Dream Space Academy for Primary,2020-11-09 10:00:00,09/11/2020 12:00,our lady of lourdes,2020,Dublin,Y
st attractas cs,91512Q,Dream Space Academy for Post-Primary,2020-11-11 10:00:00,11/11/2020 12:00,st attractas cs,2020,Sligo,N
gaelcholáiste reachrann,76085N,Dream Space Academy for Post-Primary,2020-11-11 12:30:00,11/11/2020 14:30,gaelcholáiste reachrann,2020,Dublin,N
scoil naomh padraig,19114T,Dream Space Academy for Primary,2020-11-12 10:00:00,12/11/2020 12:00,scoil naomh padraig,2020,Dublin,N
scoil naomh padraig,19114T,Dream Space Academy for Primary,2020-11-12 10:00:00,12/11/2020 12:00,scoil naomh padraig,2020,Dublin,N
scoil naomh padraig,19114T,Dream Space Academy for Primary,2020-11-12 10:00:00,12/11/2020 12:00,scoil naomh padraig,2020,Dublin,N
scoil naomh padraig,19114T,Dream Space Academy for Primary,2020-11-12 10:00:00,12/11/2020 12:00,scoil naomh padraig,2020,Dublin,N
holy family secondary school,61682A,Dream Space Academy for Post-Primary,2020-11-16 10:00:00,16/11/2020 12:00,holy family secondary school,2020,Kildare,N
colaiste fionnchua,70140M,Dream Space Academy for Post-Primary,2020-11-16 12:30:00,16/11/2020 14:30,colaiste fionnchua,2020,,
our lady of mercy ns,09161W,Dream Space Academy for Primary,2020-11-17 10:00:00,17/11/2020 12:00,our lady of mercy ns,2020,Cork,N
our lady of the wayside ns kilternan,18806U,Dream Space Academy for Primary,2020-11-17 12:30:00,17/11/2020 14:30,our lady of the wayside ns kilternan,2020,Dublin,N
ursuline college sligo,65180T,Dream Space Academy for Post-Primary,2020-11-18 10:00:00,18/11/2020 12:00,ursuline college sligo,2020,Sligo,N
sacred heart senior school,19543T,Dream Space Academy for Primary,2020-11-18 12:30:00,18/11/2020 14:30,sacred heart senior school,2020,Dublin,Y
skerries etns,20307O,Dream Space Academy for Primary,2020-11-19 10:00:00,19/11/2020 12:00,skerries etns,2020,Dublin,Y
st. conleths college,70680U,Dream Space Academy for Post-Primary,2020-11-19 12:30:00,19/11/2020 14:30,st. conleths college,2020,Kildare,Y
coill dubh ns,18096P,Dream Space Academy for Primary,2020-11-20 10:00:00,20/11/2020 12:00,coill dubh ns,2020,Kildare,N
temple carrig secondary school,68081J,Dream Space Academy for Post-Primary,2020-11-23 10:00:00,23/11/2020 12:00,temple carrig secondary school,2020,Wicklow,N
st louis sps,17210F,Dream Space Academy for Primary,2020-11-24 12:30:00,24/11/2020 14:30,st louis sps,2020,Dublin,N
st. laurences ns,19573F,Dream Space Academy for Primary,2020-11-25 10:00:00,25/11/2020 12:00,st. laurences ns,2020,Wicklow,N
victoria college preparatory school,1620264,Dream Space Academy for Primary,2020-11-25 12:30:00,25/11/2020 14:30,victoria college preparatory school,2020,,
shountrade national school,17068F,Dream Space Academy for Primary,2020-11-26 12:30:00,26/11/2020 14:30,shountrade national school,2020,Limerick,N
st colmans ns,17746A,Dream Space Academy for Primary,2020-11-27 12:30:00,27/11/2020 14:30,st colmans ns,2020,Offaly,N
st. oliver plunketts n.s.,19645E,Dream Space Academy for Primary,2020-11-30 10:00:00,30/11/2020 12:00,st. oliver plunketts n.s.,2020,Tipperary,Y
holy rosary college,63090I,Dream Space Academy for Post-Primary,2020-11-30 12:30:00,30/11/2020 14:30,holy rosary college,2020,Galway,N
benincasa special school,18863J,Dream Space Academy for Primary,2020-12-01 10:00:00,01/12/2020 12:00,benincasa special school,2020,,
scoil mhuire loughegar,18812P,Dream Space Academy for Primary,2020-12-01 12:30:00,01/12/2020 14:30,scoil mhuire loughegar,2020,Westmeath,N
saint oliver plunkett ns malahide,17914S,Dream Space Academy for Primary,2020-12-04 10:00:00,04/12/2020 12:00,saint oliver plunkett ns malahide,2020,Dublin,N
saint oliver plunkett ns malhide,17914S,Dream Space Academy for Primary,2020-12-04 12:30:00,04/12/2020 14:30,saint oliver plunkett ns malhide,2020,Dublin,N
st mochtas ns,18778S,Dream Space Academy for Primary,2020-12-07 10:00:00,07/12/2020 12:00,st mochtas ns,2020,Dublin,N
gaelscoil thomáis dáibhís,19886D,Dream Space Academy for Primary,2020-12-07 12:30:00,07/12/2020 14:30,gaelscoil thomáis dáibhís,2020,Cork,N
doora ns,18696Q,Dream Space Academy for Primary,2020-12-09 12:30:00,09/12/2020 14:30,doora ns,2020,Clare,N
colaiste dun an ri,76313A,Dream Space Academy for Post-Primary,2020-12-10 10:00:00,10/12/2020 12:00,colaiste dun an ri,2020,Cavan,N
breifne college cavan,70380I,Dream Space Academy for Post-Primary,2020-12-10 12:30:00,10/12/2020 14:30,breifne college cavan,2020,Cavan,Y
urlingford ns,19930D,Dream Space Academy for Primary,2020-12-11 10:00:00,11/12/2020 12:00,urlingford ns,2020,Kilkenny,Y
coláiste bhaile chláir,76233C,Dream Space Academy for Post-Primary,2020-12-11 12:30:00,11/12/2020 14:30,coláiste bhaile chláir,2020,Galway,N
coill dubh national school,18096P,Dream Space Academy for Primary,2020-12-14 10:00:00,14/12/2020 12:00,coill dubh national school,2020,Kildare,N
scoil ghormáin naofa castletown,17768K,Dream Space Academy for Primary,2020-12-14 12:30:00,14/12/2020 14:30,scoil ghormáin naofa castletown,2020,Wexford,N
st. augustines n.s. clontuskert,17919F,Dream Space Academy for Primary,2020-12-15 10:00:00,15/12/2020 12:00,st. augustines n.s. clontuskert,2020,Galway,N
scoil neasáin,19309L,Dream Space Academy for Primary,2020-12-15 12:30:00,15/12/2020 14:30,scoil neasáin,2020,Dublin,N
mercy secondary school mounthawk,68070E,Dream Space Academy for Post-Primary,2020-12-16 12:30:00,16/12/2020 14:30,mercy secondary school mounthawk,2020,Kerry,N
st. laurences ns,19573F,Dream Space Academy for Primary,2020-12-17 10:00:00,17/12/2020 12:00,st. laurences ns,2020,Wicklow,N
our lady of the wayside ns,18806U,Dream Space Academy for Primary,2020-12-18 10:00:00,18/12/2020 12:00,our lady of the wayside ns,2020,Dublin,N
firhouse educate together,68307J,Dream Space Academy for Post-Primary,2020-12-18 12:30:00,18/12/2020 14:30,firhouse educate together,2020,Dublin,N
ashbourne community school,91496T,Dream Space Academy for Post-Primary,2021-01-11 10:00:00,11/01/2021 12:00,ashbourne community school,2021,,
ó carolan college nobber,71980O,Dream Space Academy for Post-Primary,2021-01-11 12:30:00,11/01/2021 14:30,ó carolan college nobber,2021,Meath,Y
st brendans community school,91491L,Dream Space Academy for Post-Primary,2021-01-12 12:30:00,12/01/2021 14:30,st brendans community school,2021,Offaly,Y
coláiste dún iascaigh,76063D,Dream Space Academy for Post-Primary,2021-01-15 10:00:00,15/01/2021 12:00,coláiste dún iascaigh,2021,Tipperary,N
malahide/portmarnock educate together secondary school,68308L,Dream Space Academy for Post-Primary,2021-01-15 12:30:00,15/01/2021 14:30,malahide/portmarnock educate together secondary school,2021,Dublin,N
cbs secondary school new ross,63600F,Dream Space Academy for Post-Primary,2021-01-18 10:00:00,18/01/2021 12:00,cbs secondary school new ross,2021,,
pobalscoil inbhear sceine,91503P,Dream Space Academy for Post-Primary,2021-01-18 12:30:00,18/01/2021 14:30,pobalscoil inbhear sceine,2021,Kerry,N
moate community school,91501L,Dream Space Academy for Post-Primary,2021-01-19 10:00:00,19/01/2021 12:00,moate community school,2021,Westmeath,N
castleisland community college,70520V,Dream Space Academy for Post-Primary,2021-01-20 12:30:00,20/01/2021 14:30,castleisland community college,2021,Kerry,N
gaelscoil sheoirse clancy,19931F,Dream Space Academy for Primary,2021-01-21 11:11:00,21/01/2021 11:12,gaelscoil sheoirse clancy,2021,Limerick,Y
our lady of lourdes,19667O,Dream Space Academy for Primary,2021-01-21 12:29:00,21/01/2021 12:30,our lady of lourdes,2021,Limerick,Y
our ladys secondary school,6544OT,Dream Space Academy for Post-Primary,2021-01-25 10:00:00,25/01/2021 12:00,our ladys secondary school,2021,,
our ladys secondary school,6544OT,Dream Space Academy for Post-Primary,2021-01-25 10:00:00,25/01/2021 12:00,our ladys secondary school,2021,,
carrick-on-shannon community school,91496V,Dream Space Academy for Post-Primary,2021-01-25 12:30:00,25/01/2021 14:30,carrick-on-shannon community school,2021,,
mohill community college,76089V,Dream Space Academy for Post-Primary,2021-01-26 10:00:00,26/01/2021 12:00,mohill community college,2021,Leitrim,N
blakestown community school,91316Q,Dream Space Academy for Post-Primary,2021-01-26 12:30:00,26/01/2021 14:30,blakestown community school,2021,Dublin,Y
st patricks classical school,64350N,Dream Space Academy for Post-Primary,2021-01-27 10:00:00,27/01/2021 12:00,st patricks classical school,2021,Meath,N
carndonagh community school,91406R,Dream Space Academy for Post-Primary,2021-01-27 12:30:00,27/01/2021 14:30,carndonagh community school,2021,Donegal,Y
moate cs,91501L,Dream Space Academy for Post-Primary,2021-01-28 12:30:00,28/01/2021 14:30,moate cs,2021,Westmeath,N
st killians college new inn ballinasloe galway,71310P,Dream Space Academy for Post-Primary,2021-01-29 10:00:00,29/01/2021 12:00,st killians college new inn ballinasloe galway,2021,Galway,N
st. patricks secondary school,61250R,Dream Space Academy for Post-Primary,2021-01-29 12:30:00,29/01/2021 14:30,st. patricks secondary school,2021,Kerry,N
broughton primary school,6642268,Dream Space Academy for Primary,2021-02-01 10:00:00,01/02/2021 12:00,broughton primary school,2021,,
elphin comunity college,72280O,Dream Space Academy for Post-Primary,2021-02-02 12:30:00,02/02/2021 14:30,elphin comunity college,2021,Roscommon,N
scoil phroinsiais naofa,18406E,Dream Space Academy for Primary,2021-02-03 10:00:00,03/02/2021 12:00,scoil phroinsiais naofa,2021,Offaly,Y
st. clares primary school,1665H,Dream Space Academy for Primary,2021-02-03 12:30:00,03/02/2021 14:30,st. clares primary school,2021,,
st louis community school,91494R,Dream Space Academy for Post-Primary,2021-02-03 12:30:00,03/02/2021 14:30,st louis community school,2021,Mayo,N
the kings hospital,60272W,Dream Space Academy for Post-Primary,2021-02-04 10:00:00,04/02/2021 12:00,the kings hospital,2021,Dublin,N
edmund rice college,68306H,Dream Space Academy for Post-Primary,2021-02-05 10:00:00,05/02/2021 12:00,edmund rice college,2021,,
colaiste cholmcille,91506V,Dream Space Academy for Post-Primary,2021-02-05 12:30:00,05/02/2021 14:30,colaiste cholmcille,2021,Donegal,Y
coláiste íosagain,60042F,Dream Space Academy for Post-Primary,2021-02-08 12:30:00,08/02/2021 14:30,coláiste íosagain,2021,Dublin,N
tyndall college carlow,70420R,Dream Space Academy for Post-Primary,2021-02-09 10:00:00,09/02/2021 12:00,tyndall college carlow,2021,Carlow,Y
presentation secondary school,64970U,Dream Space Academy for Post-Primary,2021-02-09 12:30:00,09/02/2021 14:30,presentation secondary school,2021,,
st louis secondary school carrickmacross,64760J,Dream Space Academy for Post-Primary,2021-02-11 10:00:00,11/02/2021 12:00,st louis secondary school carrickmacross,2021,,
presentation secondary school castleisland,61260U,Dream Space Academy for Post-Primary,2021-02-12 12:30:00,12/02/2021 14:30,presentation secondary school castleisland,2021,Kerry,N
graignamamanagh boys ns,16311G,Dream Space Academy for Primary,2021-02-16 10:00:00,16/02/2021 12:00,graignamamanagh boys ns,2021,Kilkenny,Y
taunagh n.s.,13196R,Dream Space Academy for Primary,2021-02-22 10:00:00,22/02/2021 12:00,taunagh n.s.,2021,Sligo,N
st. nathys college,68067P,Dream Space Academy for Post-Primary,2021-02-22 12:30:00,22/02/2021 14:30,st. nathys college,2021,Roscommon,Y
st brigids killarney,61340S,Dream Space Academy for Post-Primary,2021-02-23 12:30:00,23/02/2021 14:30,st brigids killarney,2021,Kerry,N
newbridge college,61680T,Dream Space Academy for Post-Primary,2021-02-25 10:18:00,25/02/2021 10:19,newbridge college,2021,Kildare,N
colasite dun iascaigh,76063D,Dream Space Academy for Post-Primary,2021-03-01 10:00:00,01/03/2021 12:00,colasite dun iascaigh,2021,Tipperary,N
st dominics college,60731F,Dream Space Academy for Post-Primary,2021-03-01 12:30:00,01/03/2021 14:30,st dominics college,2021,Dublin,N
stepaside etss,68241F,Dream Space Academy for Post-Primary,2021-03-05 10:00:00,05/03/2021 12:00,stepaside etss,2021,Dublin,N
catholic university school,60540V,Dream Space Academy for Post-Primary,2021-03-09 10:00:00,09/03/2021 11:30,catholic university school,2021,Dublin,N
coláiste mhuire johnstown,70600T,Dream Space Academy for Post-Primary,2021-03-15 10:00:00,15/03/2021 12:00,coláiste mhuire johnstown,2021,,
ballinahowen national school,19632S,Dream Space Academy for Primary,2021-03-15 12:30:00,15/03/2021 14:30,ballinahowen national school,2021,Westmeath,N
scoil mhuire naofa,16474L,Dream Space Academy for Primary,2021-03-16 12:30:00,16/03/2021 14:30,scoil mhuire naofa,2021,Leitrim,Y
scoil mhuire naofa,16474L,Dream Space Academy for Primary,2021-03-16 12:30:00,16/03/2021 14:30,scoil mhuire naofa,2021,Leitrim,Y
ramsgrange community school,91431Q,Dream Space Academy for Post-Primary,2021-03-18 12:30:00,18/03/2021 14:30,ramsgrange community school,2021,Wexford,Y
st marys glasenvin,60770P,Dream Space Academy for Post-Primary,2021-03-19 10:00:00,19/03/2021 12:00,st marys glasenvin,2021,Dublin,Y
st josephs bns,09750S,Dream Space Academy for Primary,2021-03-22 10:00:00,22/03/2021 12:00,st josephs bns,2021,Dublin,N
st marys cbs portlaoise,63430G,Dream Space Academy for Post-Primary,2021-03-22 12:30:00,22/03/2021 14:30,st marys cbs portlaoise,2021,Laois,N
st marys cbs portlaoise,63430G,Dream Space Academy for Post-Primary,2021-03-23 12:30:00,23/03/2021 14:30,st marys cbs portlaoise,2021,Laois,N
sacred heart school tullamore,65620V,Dream Space Academy for Post-Primary,2021-03-24 10:00:00,24/03/2021 12:00,sacred heart school tullamore,2021,,
skerries community college,76078Q,Dream Space Academy for Post-Primary,2021-03-24 12:30:00,24/03/2021 14:30,skerries community college,2021,Dublin,N
cedar integrated primary school,4066588,Dream Space Academy for Primary,2021-03-31 10:00:00,31/03/2021 12:00,cedar integrated primary school,2021,,
grennan college,70640I,Dream Space Academy for Post-Primary,2021-04-12 10:00:00,12/04/2021 12:00,grennan college,2021,Kilkenny,Y
scoil aireagail,70570N,Dream Space Academy for Post-Primary,2021-04-14 10:00:00,14/04/2021 12:00,scoil aireagail,2021,Kilkenny,N
st pauls monasterevin,61702D,Dream Space Academy for Post-Primary,2021-04-14 12:30:00,14/04/2021 14:30,st pauls monasterevin,2021,,
holy faith clontarf,60750J,Dream Space Academy for Post-Primary,2021-04-15 12:30:00,15/04/2021 14:30,holy faith clontarf,2021,Dublin,N
st marys glasnevin,60770P,Dream Space Academy for Post-Primary,2021-04-16 12:30:00,16/04/2021 14:30,st marys glasnevin,2021,Dublin,Y
mercy secondary school ballymahon,63710M,Dream Space Academy for Post-Primary,2021-04-20 10:00:00,20/04/2021 12:00,mercy secondary school ballymahon,2021,,
ashton school,81008W,Dream Space Academy for Post-Primary,2021-04-20 12:30:00,20/04/2021 14:30,ashton school,2021,Cork,N
holy child community school sallynoggin,91330K,Dream Space Academy for Post-Primary,2021-04-28 10:00:00,28/04/2021 12:00,holy child community school sallynoggin,2021,Dublin,Y
coláiste mhuire,63270K,Dream Space Academy for Post-Primary,2021-04-28 12:30:00,28/04/2021 14:30,coláiste mhuire,2021,Westmeath,N
st aidans cbs,60481I,Dream Space Academy for Post-Primary,2021-04-29 10:00:00,29/04/2021 12:00,st aidans cbs,2021,Dublin,N
colaiste eoin,60041D,Dream Space Academy for Post-Primary,2021-04-29 12:30:00,29/04/2021 14:30,colaiste eoin,2021,Dublin,N
gaelscoil uileog de búrca,19972T,Dream Space Academy for Primary,2021-04-30 10:00:00,30/04/2021 12:00,gaelscoil uileog de búrca,2021,Mayo,N
mount sackville,60120W,Dream Space Academy for Post-Primary,2021-05-04 10:00:00,04/05/2021 12:00,mount sackville,2021,Dublin,N
castlerea community school,91493P,Dream Space Academy for Post-Primary,2021-05-04 12:30:00,04/05/2021 14:30,castlerea community school,2021,Roscommon,Y
cork educate together secondary,697382P,Dream Space Academy for Post-Primary,2021-05-05 12:30:00,05/05/2021 14:30,cork educate together secondary,2021,,
coláiste chiaráin,71840V,Dream Space Academy for Post-Primary,2021-05-06 10:00:00,06/05/2021 12:00,coláiste chiaráin,2021,Limerick,Y
malahide portmarnock educate together secondary school,68308L,Dream Space Academy for Post-Primary,2021-05-06 12:30:00,06/05/2021 14:30,malahide portmarnock educate together secondary school,2021,Dublin,N
griffeen valley educate together ns,20166W,Dream Space Academy for Primary,2021-05-10 10:00:00,10/05/2021 12:00,griffeen valley educate together ns,2021,Dublin,N
grange post primary,72330D,Dream Space Academy for Post-Primary,2021-05-13 10:00:00,13/05/2021 12:00,grange post primary,2021,Sligo,N
royal school cavan,61080S,Dream Space Academy for Post-Primary,2021-05-13 12:30:00,13/05/2021 14:30,royal school cavan,2021,Cavan,N
rampark ns,18101F,Dream Space Academy for Primary,2021-05-17 10:00:00,17/05/2021 12:00,rampark ns,2021,Louth,N
st marks community school,91332O,Dream Space Academy for Post-Primary,2021-05-18 10:00:00,18/05/2021 12:00,st marks community school,2021,Dublin,Y
bishopstown community school,91397T,Dream Space Academy for Post-Primary,2021-05-18 12:30:00,18/05/2021 14:30,bishopstown community school,2021,Cork,Y
colaiste mhuire johnstown,70600T,Dream Space Academy for Post-Primary,2021-05-19 10:00:00,19/05/2021 12:00,colaiste mhuire johnstown,2021,,
divine word ns,19574H,Dream Space Academy for Primary,2021-05-19 12:30:00,19/05/2021 14:30,divine word ns,2021,Dublin,N
barntown ns,17913Q,Dream Space Academy for Primary,2021-05-21 12:30:00,21/05/2021 14:30,barntown ns,2021,Wexford,N
gaelscoil thomáis dáibhís,19886D,Dream Space Academy for Primary,2021-06-02 12:30:00,02/06/2021 14:30,gaelscoil thomáis dáibhís,2021,Cork,N
st johns ns breaffy,13781F,Dream Space Academy for Primary,2021-06-03 12:30:00,03/06/2021 14:30,st johns ns breaffy,2021,Mayo,Y
st kevins ns,17720F,Dream Space Academy for Primary,2021-06-04 12:30:00,04/06/2021 14:30,st kevins ns,2021,Wicklow,N
scoil chéile chríost rathmore n.s national school,01821V,Dream Space Academy for Primary,2021-06-08 10:00:00,08/06/2021 12:00,scoil chéile chríost rathmore n.s national school,2021,Kildare,N
st ciarans mixed n.s.,16435B,Dream Space Academy for Primary,2021-06-09 10:00:00,09/06/2021 12:00,st ciarans mixed n.s.,2021,Offaly,Y
glasnevin educate together ns,20168D,Dream Space Academy for Primary,2021-06-09 12:30:00,09/06/2021 14:30,glasnevin educate together ns,2021,Dublin,N
scoil phroinsias naofa,18506E,Dream Space Academy for Primary,2021-06-15 12:30:00,15/06/2021 14:30,scoil phroinsias naofa,2021,,
scoil mhuire gns lakelands,11894I,Dream Space Academy for Primary,2021-06-15 12:30:00,15/06/2021 14:30,scoil mhuire gns lakelands,2021,Dublin,N
st. josephs ps,20089H,Dream Space Academy for Primary,2021-06-16 10:00:00,16/06/2021 12:00,st. josephs ps,2021,Mayo,N
st teresas ns,19279F,Dream Space Academy for Primary,2021-06-16 12:30:00,16/06/2021 14:30,st teresas ns,2021,Longford,Y
st colmans bns,14052V,Dream Space Academy for Primary,2021-06-17 12:30:00,17/06/2021 14:30,st colmans bns,2021,,
st.marys ns carrigallen,12345,Dream Space Academy for Primary,2021-09-06 10:00:00,06/09/2021 12:00,st.marys ns carrigallen,2021,,
scoil mhichil naofa,18288B,Dream Space Academy for Primary,2021-09-06 10:00:00,06/09/2021 12:00,scoil mhichil naofa,2021,Kildare,Y
scoil mhichil naofa,18288B,Dream Space Academy for Primary,2021-09-06 10:00:00,06/09/2021 12:00,scoil mhichil naofa,2021,Kildare,Y
st. johns senior school,20011Q,Dream Space Academy for Primary,2021-09-06 12:30:00,06/09/2021 14:30,st. johns senior school,2021,Kilkenny,Y
kiltrustan national school,17353E,Dream Space Academy for Primary,2021-09-07 10:00:00,07/09/2021 12:00,kiltrustan national school,2021,Roscommon,N
our ladys grove secondary school,60891E,Dream Space Academy for Post-Primary,2021-09-07 12:30:00,07/09/2021 14:30,our ladys grove secondary school,2021,Dublin,N
cedar ips,4066588,Dream Space Academy for Primary,2021-09-08 10:00:00,08/09/2021 12:00,cedar ips,2021,,
scoil mhuire gns,13447Q,Dream Space Academy for Primary,2021-09-10 10:00:00,10/09/2021 12:00,scoil mhuire gns,2021,Dublin,N
st. marys central school,19595P,Dream Space Academy for Primary,2021-09-10 12:30:00,10/09/2021 14:30,st. marys central school,2021,Cork,N
borrisokane community college,72370P,Dream Space Academy for Post-Primary,2021-09-13 12:30:00,13/09/2021 14:30,borrisokane community college,2021,Tipperary,N
colaiste lorcain,70670R,Dream Space Academy for Post-Primary,2021-09-14 10:00:00,14/09/2021 12:00,colaiste lorcain,2021,Kildare,N
st felims n.s. cavan,17326B,Dream Space Academy for Primary,2021-09-14 12:30:00,14/09/2021 14:30,st felims n.s. cavan,2021,Cavan,Y
st davids secondary school,61830M,Dream Space Academy for Post-Primary,2021-09-15 10:00:00,15/09/2021 12:00,st davids secondary school,2021,Wicklow,N
st marys central school,19595P,Dream Space Academy for Primary,2021-09-17 12:30:00,17/09/2021 14:30,st marys central school,2021,Cork,N
carrigeen ns,15340I,Dream Space Academy for Primary,2021-09-20 12:30:00,20/09/2021 14:30,carrigeen ns,2021,Kilkenny,N
stackallen ns,01309L,Dream Space Academy for Primary,2021-09-21 12:30:00,21/09/2021 14:30,stackallen ns,2021,Meath,N
mercy ballymahon,63710M,Dream Space Academy for Post-Primary,2021-09-23 10:00:00,23/09/2021 12:00,mercy ballymahon,2021,,
ballycroneen ns,18475A,Dream Space Academy for Primary,2021-09-24 12:30:00,24/09/2021 14:30,ballycroneen ns,2021,Cork,N
st. kevins gns,19466E,Dream Space Academy for Primary,2021-09-27 10:00:00,27/09/2021 12:00,st. kevins gns,2021,Dublin,N
st marks special school,19155W,Dream Space Academy for Primary,2021-09-28 10:00:00,28/09/2021 12:00,st marks special school,2021,,
st kevins gns,19466E,Dream Space Academy for Primary,2021-09-28 12:30:00,28/09/2021 14:30,st kevins gns,2021,Dublin,N
glenstal abbey school,64150F,Dream Space Academy for Post-Primary,2021-09-29 10:00:00,29/09/2021 12:00,glenstal abbey school,2021,Limerick,N
st brendans ps,12370C,Dream Space Academy for Primary,2021-09-29 12:30:00,29/09/2021 14:30,st brendans ps,2021,Offaly,Y
scoil mhuire killorglin,12832O,Dream Space Academy for Primary,2021-09-30 10:00:00,30/09/2021 12:00,scoil mhuire killorglin,2021,Kerry,N
robertson n.s.,13872I,Dream Space Academy for Primary,2021-09-30 12:30:00,30/09/2021 14:30,robertson n.s.,2021,Donegal,Y
st brigids ns,00697S,Dream Space Academy for Primary,2021-10-06 12:30:00,06/10/2021 14:30,st brigids ns,2021,Dublin,N
scoil mhuire araglin,17761T,Dream Space Academy for Primary,2021-10-11 10:00:00,11/10/2021 12:00,scoil mhuire araglin,2021,Cork,N
bishop foley memorial school,17053P,Dream Space Academy for Primary,2021-10-11 12:30:00,11/10/2021 14:00,bishop foley memorial school,2021,Carlow,Y
scoil mhuire lacken,17479D,Dream Space Academy for Primary,2021-10-12 10:00:00,12/10/2021 12:00,scoil mhuire lacken,2021,Cavan,Y
st brigids ns,00697S,Dream Space Academy for Primary,2021-10-13 10:00:00,13/10/2021 12:00,st brigids ns,2021,Dublin,N
st brigids ns,00697S,Dream Space Academy for Primary,2021-10-13 12:30:00,13/10/2021 14:30,st brigids ns,2021,Dublin,N
moyvore primary school,17432A,Dream Space Academy for Primary,2021-10-15 10:00:00,15/10/2021 12:00,moyvore primary school,2021,Westmeath,N
cloughfin n.s.,17469A,Dream Space Academy for Primary,2021-10-15 12:30:00,15/10/2021 14:00,cloughfin n.s.,2021,Donegal,Y
stackallen ns,01309L,Dream Space Academy for Primary,2021-10-18 10:00:00,18/10/2021 12:00,stackallen ns,2021,Meath,N
gaelscoil an eiscir riada,19990V,Dream Space Academy for Primary,2021-10-18 12:30:00,18/10/2021 14:00,gaelscoil an eiscir riada,2021,Offaly,N
st.patricks bns,19258U,Dream Space Academy for Primary,2021-10-19 10:00:00,19/10/2021 12:00,st.patricks bns,2021,Dublin,N
mount carmel secondary school,60853T,Dream Space Academy for Post-Primary,2021-10-19 12:30:00,19/10/2021 14:00,mount carmel secondary school,2021,Dublin,Y
gaelscoil na laochra,20461B,Dream Space Academy for Primary,2021-10-20 10:00:00,20/10/2021 12:00,gaelscoil na laochra,2021,Offaly,N
community college,71450I,Dream Space Academy for Post-Primary,2021-10-20 12:30:00,20/10/2021 14:00,community college,2021,Westmeath,Y
scoil naomh pádraig,19114T,Dream Space Academy for Primary,2021-10-21 12:30:00,21/10/2021 14:00,scoil naomh pádraig,2021,Dublin,N
le chéile ns,20459O,Dream Space Academy for Primary,2021-10-22 10:00:00,22/10/2021 12:00,le chéile ns,2021,Limerick,Y
scoil mhuire senior,19452Q,Dream Space Academy for Primary,2021-10-22 12:30:00,22/10/2021 14:00,scoil mhuire senior,2021,Kildare,Y
sacred heart sns,19543T,Dream Space Academy for Primary,2021-11-02 10:00:00,02/11/2021 12:00,sacred heart sns,2021,Dublin,Y
sn naomh eoin,18641O,Dream Space Academy for Primary,2021-11-04 10:00:00,04/11/2021 12:00,sn naomh eoin,2021,Laois,N
wilsons hospital school,63300Q,Dream Space Academy for Post-Primary,2021-11-04 12:30:00,04/11/2021 14:30,wilsons hospital school,2021,Westmeath,N
kilcoe ns,14227H,Dream Space Academy for Primary,2021-11-05 10:00:00,05/11/2021 12:00,kilcoe ns,2021,Cork,Y
newtowngore ns,09353I,Dream Space Academy for Primary,2021-11-05 12:30:00,05/11/2021 14:30,newtowngore ns,2021,Leitrim,N
scoil mhuire gan smál,17224Q,Dream Space Academy for Primary,2021-11-11 10:00:00,11/11/2021 12:00,scoil mhuire gan smál,2021,Kilkenny,Y
scoil mhuire gan smál,17224Q,Dream Space Academy for Primary,2021-11-11 10:00:00,11/11/2021 12:00,scoil mhuire gan smál,2021,Kilkenny,Y
scoil mhuire gan smál,17224Q,Dream Space Academy for Primary,2021-11-11 10:00:00,11/11/2021 12:00,scoil mhuire gan smál,2021,Kilkenny,Y
