School Name,Roll/DENI Number,Experience,Event Start,Event End,School Name Clean,Year,county,DEIS (Y/N)
st. patricks boys national school donabate co. dublin,16267G,Dream Space Academy for Primary,2019-01-14 10:00:00,14/01/2019 13:00,st. patricks boys national school donabate co. dublin,2019,Dublin,N
st andrew’s college,60650F,Dream Space Academy for Post-Primary,2019-01-14 14:00:00,14/01/2019 17:00,st andrew’s college,2019,Dublin,N
convent of mercy newport,16057S,Dream Space Academy for Primary,2019-01-18 11:00:00,18/01/2019 14:00,convent of mercy newport,2019,Cavan,Y
taney parish primary school,14917J,Dream Space Academy for Primary,2019-01-22 10:00:00,22/01/2019 13:00,taney parish primary school,2019,Dublin,N
colaiste pobail acla,76150V,Dream Space Academy for Post-Primary,2019-01-23 14:00:00,23/01/2019 17:00,colaiste pobail acla,2019,Mayo,Y
delgany national school,00373P,Dream Space Academy for Primary,2019-01-24 09:30:00,24/01/2019 12:30,delgany national school,2019,Monaghan,Y
st colmans,19798G,Dream Space Academy for Post-Primary,2019-01-25 10:00:00,25/01/2019 13:00,st colmans,2019,Mayo,Y
hollypark bns,19258U,Dream Space Academy for Primary,2019-01-29 11:00:00,29/01/2019 14:00,hollypark bns,2019,Dublin,N
booterstown ns,19901T,Dream Space Academy for Primary,2019-01-30 09:30:00,30/01/2019 12:30,booterstown ns,2019,Dublin,N
scoil mhuire moynalty,17213L,Dream Space Academy for Primary,2019-01-31 10:00:00,31/01/2019 13:00,scoil mhuire moynalty,2019,Meath,N
willow park junior school,60040B,Dream Space Academy for Primary,2019-02-05 10:00:00,05/02/2019 13:00,willow park junior school,2019,Dublin,N
coláiste mhuire coed,72490C,Dream Space Academy for Post-Primary,2019-02-07 10:00:00,07/02/2019 13:00,coláiste mhuire coed,2019,Tipperary,Y
kilcoole primary school,20346B,Dream Space Academy for Primary,2019-02-08 10:00:00,08/02/2019 13:00,kilcoole primary school,2019,Wicklow,N
st. aidans cbs,60481I,Dream Space Academy for Post-Primary,2019-02-11 10:00:00,11/02/2019 13:00,st. aidans cbs,2019,Dublin,N
st. patricks sns,12841P,Dream Space Academy for Primary,2019-02-12 14:00:00,12/02/2019 17:00,st. patricks sns,2019,Wexford,N
ardscoil rath iomghain,70730J,Dream Space Academy for Post-Primary,2019-02-13 10:00:00,13/02/2019 13:00,ardscoil rath iomghain,2019,Kildare,Y
coláiste ráithín,70821M,Dream Space Academy for Post-Primary,2019-02-14 10:00:00,14/02/2019 13:00,coláiste ráithín,2019,Wicklow,N
willow park,60040B,Dream Space Academy for Primary,2019-02-19 10:00:00,19/02/2019 13:00,willow park,2019,Dublin,N
willow park,60040B,Dream Space Academy for Primary,2019-02-20 10:00:00,20/02/2019 13:00,willow park,2019,Dublin,N
castleknock national school,06539H,Dream Space Academy for Primary,2019-02-26 14:00:00,26/02/2019 17:00,castleknock national school,2019,Limerick,N
nuns cross national school ashford,11649S,Dream Space Academy for Primary,2019-02-27 10:00:00,27/02/2019 13:00,nuns cross national school ashford,2019,Wicklow,N
rahugh ns,17882I,Dream Space Academy for Primary,2019-02-28 10:00:00,28/02/2019 13:00,rahugh ns,2019,Westmeath,N
mount sackville secondary school,60120W,Dream Space Academy for Post-Primary,2019-03-01 10:00:00,01/03/2019 13:00,mount sackville secondary school,2019,Dublin,N
inchicore ns,20139T,Dream Space Academy for Primary,2019-03-06 10:00:00,06/03/2019 13:00,inchicore ns,2019,Dublin,Y
st. brigids national school,10548H,Dream Space Academy for Primary,2019-03-06 14:00:00,06/03/2019 17:00,st. brigids national school,2019,Cork,N
rathmore n.s.,01415K,Dream Space Academy for Primary,2019-03-07 10:00:00,07/03/2019 13:00,rathmore n.s.,2019,Carlow,N
